taxon	sequenceID	name	subfamily	genus	subgenus	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_001461	NC_001461	BVDV1	FlaviPesti	Pestivirus	A	Bos	none	-	-	-	-
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_002657	NC_002657	CSFV	FlaviPesti	Pestivirus	C	Sus	none	-	-	-	-
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_003678	NC_003678	GiPeV	FlaviPesti	Pestivirus	G	Giraffa	none	giraffe-1 H138	Giraffa camelopardalis	-	-
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_003679	NC_003679	BDV	FlaviPesti	Pestivirus	D	Ovis	none	-	-	-	-
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_012812	NC_012812	BVDV3	FlaviPesti	Pestivirus	H	Bos	none	-	Bos taurus	-	Thailand
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_018713	NC_018713	Aydin	FlaviPesti	Pestivirus	I	Ovis	none	-	sheep	-	Turkey
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_023176	NC_023176	PoPeV	FlaviPesti	Pestivirus	F	Sus	none	Bungowannah	-	-	Australia
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_024018	NC_024018	PAPeV	FlaviPesti	Pestivirus	E	Antilocapra	none	-	pronghorn antelope	-	USA
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_024077	NC_024077	SbCNV-5	FlaviPesti	Pesti-like	PL1	Heterodera	none	-	Heterodera glycines	-	USA
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_025677	NC_025677	NrPeV	FlaviPesti	Pestivirus	J	Rattus	none	NrPV/NYC-D23	Rattus norvegicus	-	USA: New York, New York City
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_028370	NC_028370	XCV	FlaviPesti	Pesti-like	Ungrouped	Velarifictorus	none	-	Velarifictorus micado	-	China
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_028373	NC_028373	SLV2	FlaviPesti	Pesti-like	PL2	Chrysopida	none	-	Chrysopidae sp.	-	China
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_028375	NC_028375	ShayangFlyV4	FlaviPesti	Pesti-like	Ungrouped	Musca	none	-	Musca domestica	-	China
alignment/AL_TREE_PestiLike/member/ncbi-refseqs/NC_038964	NC_038964	APPeV	FlaviPesti	Pestivirus	K	Sus	none	-	Sus scrofa	-	USA
