taxon	sequenceID	name	full_name	subfamily	genus	host_major_group	host_minor_group	vector_group	sampled_host_sci_name
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/MG599993	MG599993	WHCV	Western African lungfish hepacivirus	HepaPegi	Hepacivirus	Sarcopterygii	Sarcopterygii	none	Protopterus annectens
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/MG599999	MG599999	STHV	Chinese softshell turtle hepacivirus	HepaPegi	Hepacivirus	Reptiles	Testudines	none	Pelodiscus sinensis
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/MT371434	MT371434	BBHV	Bushbaby hepacivirus	HepaPegi	Hepacivirus	Mammalia	Primates	none	Galago senegalensis
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_004102	NC_004102	HCV	Hepatitis C virus genotype 1	HepaPegi	Hepacivirus	Mammalia	Primates	none	Homo sapiens
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_024889	NC_024889	EHCV	Equine hepacivirus JPN3/JAPAN/2013	HepaPegi	Hepacivirus	Mammalia	Artiodactyla	none	Equus caballus
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_031916	NC_031916	HVL	Hepacivirus L	HepaPegi	Hepacivirus	Mammalia	Chiroptera	none	Hipposideros vittatus
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_031947	NC_031947	BHV	Bat hepacivirus	HepaPegi	Hepacivirus	Mammalia	Chiroptera	none	Otomops martiensseni
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_038429	NC_038429	HVJ	Hepacivirus J	HepaPegi	Hepacivirus	Mammalia	Rodentia	none	Myodes glareolus
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_038430	NC_038430	HVK	Hepacivirus K	HepaPegi	Hepacivirus	Mammalia	Chiroptera	none	Hipposideros vittatus
alignment/AL_TREE_Hepacivirus/member/ncbi-refseqs/NC_038431	NC_038431	HVM	Hepacivirus M	HepaPegi	Hepacivirus	Mammalia	Chiroptera	none	Otomops martiensseni
