sequenceID	full_name	name	genus	clade	reservoir_taxgroup	sampled_host_sci_name	reservoir_host_sci_name	vector_boolean	vector_taxgroup	vector_sci_name	NCBI taxon	isolate	country	gb_place_sampled	collection_year	collection_month_day	collection_month
AY632538	Iguape virus	-		-		-	-					-	-	-	-	-	-
AY632542	Rocio virus	-		-		-	-					-	-	-	-	-	-
AY898809	Alfuy virus	-		-		-	-					-	Australia	-	-	-	-
DQ235149	Royal Farm virus	-	Flavivirus	-	Orphan			1	tick		64288	-	Afghanistan	-	-	-	-
DQ235151	Turkish sheep encephalitis	-		-		-	-					-	Turkey	-	-	-	-
DQ859056	Banzi virus	-		-		-	-					-	South Africa	-	-	-	-
EU082199	Yaounde virus	-		-		-	-					-	Cameroon	-	-	-	-
EU082200	Koutango virus	-		-		-	-					-	Senegal	-	-	-	-
EU159426	Nounane virus	-		-		Uranotaenia mashonaensis	Uranotaenia mashonaensis					-	Cote d'Ivoire	-	-	-	-
GQ165809	Nakiwogo virus	-		-		Mansonia africana nigerrima voucher H4A1	Mansonia africana nigerrima voucher H4A1	0	none			-	Uganda	-	2008	-	-
HE574574	Culex theileri flavivirus	-		-		Culex theileri		0	none			178	Portugal	Dunas Douradas-Almancil	-	-	-
JF416960	Kyasanur forest disease virus	-	Flavivirus	-	Primate	Semnopithecus entellus	Semnopithecus entellus	1	tick		33743	-	India	-	1957	-	-
JQ268258	Hanko virus	-		-					mosquito	mosquito		-	Finland	-	2005	-	-
KC496020	Barkedji virus	-		-		Culex perexiguus				Culex perexiguus		363/11	Israel	-	2011	-	-
KC505248	Palm Creek virus	-		-		Coquillettidia xanthogaster	Coquillettidia xanthogaster					56	Australia	-	2010	-	-
KM225263	Stratford virus	-		-		-	-					-	Australia	-	1961	-	-
KM225264	Bainyink virus	-		-		Aedes sp. (mosquito)				Aedes sp. (mosquito)		-	Papua New Guinea	-	1966	-	-
KM225265	Torres virus	-		-		mosquito						-	Australia	-	2000	-	-
KM408491	Pestivirus Burdur	-	Flavivirus	-	Bovidae	goat	goat	?	unknown		1594788	Burdur/05-TR	Turkey	-	2005	-	-
KY290249	Long Pine Key virus	-		-		Ochlerotatus atlanticus	Ochlerotatus atlanticus					-	USA	Florida, Everglades National Park, Long Pine Key	2013	13	JUN
KY320649 	La Tina	-		-		Ochlerotatus scapularis	Ochlerotatus scapularis					49_LT96	Peru	Piura province, the village of La Tina	1996	22	AUG
KY347801	Marisma mosquito virus	-		-		Ochlerotatus caspius	Ochlerotatus caspius					HU 4528/07	Spain	-	2007	1	AUG
NC_000943	Murray Valley encephalitis virus	-	Flavivirus	-	Neoaves	-	-	1	mosquito		11079	-	-	-	-	-	-
NC_001437	Japanese encephalitis virus	-	Flavivirus	-	Neoaves	-	-	1	mosquito		11072	-	-	-	-	-	-
NC_001461	Bovine viral diarrhea virus 1	BDV	Flavivirus	-	Bovidae	-	-	0	none		11099	-	-	-	-	-	-
NC_001474	Dengue virus 2	DEN2	Flavivirus	-	Primate	-	-	1	mosquito		11060	-	Thailand	-	1964	-	-
NC_001475	Dengue virus 3	DEN3	Flavivirus	-	Primate	-	-	1	mosquito		11069	D3/H/IMTSSA-SRI/2000/1266	Sri Lanka	-	-	-	-
NC_001477	Dengue virus 1	DEN1	Flavivirus	-	Primate	-	-	1	mosquito		11053	-	-	-	-	-	-
NC_001563	West Nile virus	WNV	Flavivirus	-	Neoaves	-	-	1	mosquito		11082	-	-	-	-	-	-
NC_001564	Cell fusing agent virus	-	Flavivirus	-	Insect	Aedes aegypti Galveston colony		0	mosquito	Aedes aegypti	31658	-	USA	-	2012	-	-
NC_001672	Tick-borne encephalitis virus	-	Flavivirus	-	Rodent	-	-	1	tick		11084	-	-	-	-	-	-
NC_001710	GB virus C	-	Flavivirus	-	Primate	-	-	0	none		54290	-	-	-	-	-	-
NC_001809	Louping ill virus	LIV	Flavivirus	-	Bovidae	-	-	1	tick		11086	-	-	-	-	-	-
NC_001837	Pegivirus A	-	Flavivirus	-	Primate	-	-	0	none		1307800	-	-	-	-	-	-
NC_002031	Yellow fever virus	YFV	Flavivirus	-	Primate	-	-	1	mosquito		11089	-	-	-	-	-	-
NC_002032	Bovine viral diarrhea virus 2	-	Flavivirus	-	Bovidae	-	-	0	none		54315	-	-	-	-	-	-
NC_002640	Dengue virus 4	DEN4	Flavivirus	-	Primate	-	-	1	mosquito		12637	-	-	-	-	-	-
NC_002657	Classical swine fever virus	-	Flavivirus	-	Suidae	-	-	0	none		11096	-	-	-	-	-	-
NC_003635	Modoc virus	-	Flavivirus	-	Rodent	-	-	0	none		64300	-	USA	Modoc county	-	-	-
NC_003675	Rio Bravo virus	-	Flavivirus	-	Vespbat	-	-	0	none		64285	-	-	-	-	-	-
NC_003676	Apoi virus	-	Flavivirus	-	Rodent	-	-	0	none		64280	-	-	-	-	-	-
NC_003678	Pestivirus Giraffe-1	-	Flavivirus	-	Giraffidae	Giraffa camelopardalis	Giraffa camelopardalis	0	none		155905	giraffe-1 H138	-	-	-	-	-
NC_003679	Border disease virus	-	Flavivirus	-	Bovidae	-	-	0	none		358764	-	-	-	-	-	-
NC_003687	Powassan virus	-	Flavivirus	-	Rodent	-	-	1	tick		11083	-	-	-	-	-	-
NC_003690	Langat virus	-	Flavivirus	-	Orphan	-	-	1	tick		11085	-	-	-	-	-	-
NC_003996	Tamana bat virus	-	Flavivirus	-	Vespbat	Pteronotus parnellii	Pteronotus parnellii	0	none		161675	-	Trinidad and Tobago	Tamana cave	-	-	-
NC_004102	Hepatitis C virus	HCV	Flavivirus	Genotype 1	Primate	-	-	0	none		11103	H77	-	-	-	-	-
NC_004119	Montana myotis leukoencephalitis virus	-	Flavivirus	-	Vespbat	-	-	0	none		64312	-	USA	Montana	-	-	-
NC_004355	Alkhumra hemorrhagic fever virus	-	Flavivirus	-	Orphan	Homo sapiens	Homo sapiens	1	mosquito		172148	-	Saudi Arabia	-	-	-	-
NC_005039	Yokose virus	-	Flavivirus	-	Vespbat	-	-	?	unknown		64294	-	-	-	-	-	-
NC_005062	Omsk hemorrhagic fever virus	OHFV	Flavivirus	-	Rodent	-	-	1	tick		12542	-	-	-	-	-	-
NC_005064	Kamiti River virus	KRV	Flavivirus	-	Insect	-	-	0	mosquito		218849	SR-82	-	-	-	-	-
NC_006551	Usutu virus	-	Flavivirus	-	Neoaves	-	-	1	mosquito		64286	-	Austria	-	-	-	-
NC_006947	Karshi virus	-	Flavivirus	-	Orphan	-	-	1	tick		64287	-	Uzbekistan	-	-	-	-
NC_007580	St. Louis encephalitis virus	-	Flavivirus	-	Neoaves	-	-	1	mosquito		11080	-	USA	-	-	-	-
NC_008604	Culex flavivirus	-	Flavivirus	-	Insect	-	-	0	mosquito		390844	-	Japan	Tokyo, Shinjuku	2003	-	-
NC_008718	Entebbe bat virus	-	Flavivirus	-	Vespbat	bat	bat	?	unknown		64283	-	Uganda	-	-	-	-
