taxon	sequenceID	subfamily	genus	clade	host_group	vector_group	isolate	sampled_host_sci_name	sample_date	country
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/AY632538	AY632538	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/AY632542	AY632542	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/AY898809	AY898809	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/D00246	D00246	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/DQ235149	DQ235149	FlaviPesti	Flavivirus	Tick	Argas	tick	-	-	-	Afghanistan
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/DQ235151	DQ235151	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	-	-	Turkey
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/DQ859056	DQ859056	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	South Africa
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/DQ859067	DQ859067	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	Nigeria
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/EU082199	EU082199	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Cameroon
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/EU082200	EU082200	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Senegal
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/EU159426	EU159426	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	Uranotaenia mashonaensis	-	Cote d'Ivoire
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/HE574574	HE574574	FlaviPesti	Flavivirus	cISF	Culex	none	178	Culex theileri	-	Portugal:Dunas Douradas-Almancil
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/JF312912	JF312912	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	duck	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/JF416960	JF416960	FlaviPesti	Flavivirus	Tick	Hemaphysalis	tick	-	Semnopithecus entellus	-	India
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/JF926699	JF926699	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	layer	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/JQ268258	JQ268258	FlaviPesti	Flavivirus	cISF	Ochlerotatus	none	-	mosquito	-	Finland
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/JX477686	JX477686	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Malaysia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KC505248	KC505248	FlaviPesti	Flavivirus	cISF	Coquillettidia	none	56	Coquillettidia xanthogaster	-	Australia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KC734550	KC734550	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	Israel/618/1995	domestic turkey	-	Israel
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KF917538	KF917538	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	sentinel hamster	-	Ecuador
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KJ469370	KJ469370	FlaviPesti	Flavivirus	NKV1	unknown	unknown	-	Cynopterus brachyotis	-	Malaysia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KM225263	KM225263	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	Australia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KM225264	KM225264	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	Aedes sp. (mosquito)	-	Papua New Guinea
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KM225265	KM225265	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	mosquito	-	Australia
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/KY347801	KY347801	FlaviPesti	Flavivirus	dISF2	Aedes	none	HU 4528/07	Ochlerotatus caspius	-	Spain
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/MF776369	MF776369	FlaviPesti	Tamanavirus	-	Cyclopterus	none	R170217-6L	Cyclopterus lumpus	-	Norway
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/MG599986	MG599986	FlaviPesti	Tamanavirus	-	Scoliodon	none	-	Scoliodon macrorhynchos	-	China
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_000943	NC_000943	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001437	NC_001437	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001474	NC_001474	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	Thailand
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001475	NC_001475	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	D3/H/IMTSSA-SRI/2000/1266	-	-	Sri Lanka
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001477	NC_001477	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001563	NC_001563	FlaviPesti	Flavivirus	Mosq1	Culex	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001564	NC_001564	FlaviPesti	Flavivirus	cISF	Aedes	none	-	Aedes aegypti Galveston colony	-	USA
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001672	NC_001672	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_001809	NC_001809	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_002031	NC_002031	FlaviPesti	Flavivirus	Mosq2	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_002640	NC_002640	FlaviPesti	Flavivirus	Mosq1	Aedes	mosquito	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_003635	NC_003635	FlaviPesti	Flavivirus	NKV1	Peromyscus	unknown	-	-	-	USA:Modoc county
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_003675	NC_003675	FlaviPesti	Flavivirus	NKV1	Tadarida	unknown	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_003676	NC_003676	FlaviPesti	Flavivirus	NKV1	Apodemus	unknown	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_003687	NC_003687	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_003690	NC_003690	FlaviPesti	Flavivirus	Tick	Ixodes	tick	-	-	-	-
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_003996	NC_003996	FlaviPesti	Tamanavirus	TABV	Pteronotus	none	-	Pteronotus parnellii	-	Trinidad and Tobago: Tamana cave
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_004119	NC_004119	FlaviPesti	Flavivirus	NKV1	Myotis	unknown	-	-	-	USA:Montana
alignment/AL_TREE_FlaviLike/member/ncbi-refseqs/NC_005039	NC_005039	FlaviPesti	Flavivirus	NKV2	mosquito	mosquito	-	-	-	-
