sequenceID	name	full_name	class	integration	fragment	duplicate	organism	scaffold	start	end	length	orientation	sublineage	subfamily	genus	clade
DufNov_4_NW_015373905	DufNov_4	DufNov_4_NW_015373905	EFV	3	4	1	Dufourea_novaeangliae	NW_015373905.1	1526901	1527215	315	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_2_NW_015373905	DufNov_2	DufNov_2_NW_015373905	EFV	3	2	1	Dufourea_novaeangliae	NW_015373905.1	1529275	1532851	3577	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_3_NW_015373907	DufNov_3	DufNov_3_NW_015373907	EFV	3	3	1	Dufourea_novaeangliae	NW_015373907.1	13307	14390	1084	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_6_NW_015373949	DufNov_6	DufNov_6_NW_015373949	EFV	3	6	1	Dufourea_novaeangliae	NW_015373949.1	55376	59003	3628	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_5_NW_015374004	DufNov_5	DufNov_5_NW_015374004	EFV	3	5	1	Dufourea_novaeangliae	NW_015374004.1	745179	746304	1126	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_12_NW_015374014	DufNov_12	DufNov_12_NW_015374014	EFV	3	12	1	Dufourea_novaeangliae	NW_015374014.1	468128	468346	219	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_1_NW_015374131	DufNov_1	DufNov_1_NW_015374131	EFV	3	1	1	Dufourea_novaeangliae	NW_015374131.1	120625	122715	2091	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_7_NW_015374131	DufNov_7	DufNov_7_NW_015374131	EFV	3	7	1	Dufourea_novaeangliae	NW_015374131.1	135751	139506	3756	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_10_NW_015374136	DufNov_10	DufNov_10_NW_015374136	EFV	3	10	1	Dufourea_novaeangliae	NW_015374136.1	2043	2981	939	positive	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_13_NW_015374205	DufNov_13	DufNov_13_NW_015374205	EFV	3	13	1	Dufourea_novaeangliae	NW_015374205.1	287333	288226	894	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_11_NW_015374226	DufNov_11	DufNov_11_NW_015374226	EFV	3	11	1	Dufourea_novaeangliae	NW_015374226.1	12237	12800	564	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_9_NW_015374420	DufNov_9	DufNov_9_NW_015374420	EFV	3	9	1	Dufourea_novaeangliae	NW_015374420.1	11308	12375	1068	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
DufNov_8_NW_015374420	DufNov_8	DufNov_8_NW_015374420	EFV	3	8	1	Dufourea_novaeangliae	NW_015374420.1	18973	19392	420	negative	Ceratina-Pestinsect-EFV	Pesti-like	Pestinsect	Bee
