Index	sequenceID	full_name	name	subfamily	genus	clade	segment	host_group	vector_group	reservoir_group	isolate_name	region	isolation_host
1	NC_012932	Aedes flavivirus	AEFV	FlaviPesti	Flavivirus	cISF		Aedes	none	none	Narita-21	Asia	Aedes albopictus
2	NC_001564	Cell fusing agent virus	CFAV	FlaviPesti	Flavivirus	cISF		Aedes	none	none	Galveston	Americas	Aedes aegypti
3	NC_008604	Culex flavivirus	CxFV	FlaviPesti	Flavivirus	cISF		Culex	none	none	Tokyo	Asia	Culex pipiens
4	HE574574	Culex theileri flavivirus	CTFV	FlaviPesti	Flavivirus	cISF		Culex	none	none	178	Europe	Culex theileri
5	JQ268258	Hanko virus	HANKV	FlaviPesti	Flavivirus	cISF		Ochlerotatus	none	none	-	Europe	Ochlerotatus mosquito
6	NC_005064	Kamiti River virus	KRV	FlaviPesti	Flavivirus	cISF		Aedes	none	none	SR-82	Africa	Ae. macintoshi 
7	NC_027819	Mercadeo virus	MECDV	FlaviPesti	Flavivirus	cISF		Culex	none	none	ER-M10	Americas	Culex sp.
8	NC_021069	Mosquito flavivirus	MosqFV	FlaviPesti	Flavivirus	cISF		Culex	none	none	LSFlaviV-A20-09	Asia	Culex tritaeniorhynchus
9	NC_030400	Nakiwogo virus	NAKV	FlaviPesti	Flavivirus	cISF		Mansonia	none	none	Uganda08	Africa	Mansonia africana nigerrima
10	NC_024299	Nienokoue virus	NIEV	FlaviPesti	Flavivirus	cISF		Culex	none	none	B51/CI/2004	Africa	Culex sp.
11	KC505248	Palm Creek virus	PCV	FlaviPesti	Flavivirus	cISF		Coquillettidia	none	none	56	Oceania	Coquillettidia xanthogaster
12	NC_027817	Parramatta River virus	PaRV	FlaviPesti	Flavivirus	cISF		Aedes	none	none	92-B115745	Oceania	A. vigilax
13	NC_012671	Quang Binh virus	QBV	FlaviPesti	Flavivirus	cISF		Culex	none	none	VN180	Asia	Culex tritaeniorhynchus (mosquito)
14	NC_031327	Anopheles flavivirus	AnophFV	FlaviPesti	Flavivirus	cISF		Anopheles	none	none			
15	KC496020	Barkedji virus	BJV	FlaviPesti	Flavivirus	dISF1		Culex	none	none	363/11	Asia	Culex perexiguus
16	NC_017086	Chaoyang virus	CHAOV	FlaviPesti	Flavivirus	dISF1		Aedes, Armigeres, Culex	none	none	HLD115	Asia	Ae. vexans,  Ae. albopictus,  Ae. bekkui,  Armigeres subalbatus, Cx. Pipiens
17	NC_016997	Donggang virus	DONV	FlaviPesti	Flavivirus	dISF1		Aedes	none	none	DG0909	Asia	Aedes sp. (mosquito)
